date,class,professor,prof_g_p,q_or_a,student_g_p,time,cont_call,number_m_p,number_w_p
11/29/18,203,Sam,w,q,m,3,0,,
11/29/18,203,Sam,w,q,m,3,0,,
11/29/18,203,Sam,w,q,w,3,1,1,1
12/4/18,203,Kelly,m,q,m,2,0,,
12/4/18,203,Kelly,m,q,m,2,0,,
12/4/18,203,Kelly,m,q,w,2,0,,
12/4/18,203,Kelly,m,q,m,2,0,,
12/4/18,203,Kelly,m,q,m,2,0,,
12/4/18,203,Kelly,m,q,m,3,0,,
12/4/18,203,Kelly,m,a,m,3,0,,
12/4/18,203,Kelly,m,q,w,3,0,,
12/4/18,203,Kelly,m,q,m,3,0,,
12/6/18,203,Sam,w,q,m,1,0,,
12/6/18,203,Sam,w,q,w,2,0,,
12/6/18,203,Sam,w,a,w,2,0,,
12/6/18,203,Sam,w,q,m,2,0,,
12/6/18,203,Sam,w,q,m,2,0,,
12/6/18,203,Sam,w,q,m,3,0,,
12/6/18,203,Sam,w,a,m,3,0,,
12/6/18,203,Sam,w,a,m,3,0,,
12/6/18,203,Sam,w,q,m,3,0,,
12/6/18,203,Sam,w,q,m,3,0,,
12/6/18,203,Sam,w,q,w,3,0,,
10/1/18,206,Allison,w,q,m,2,0,,
10/1/18,206,Allison,w,q,m,2,0,,
10/1/18,206,Allison,w,a,m,3,0,,
10/1/18,206,Allison,w,q,w,3,0,,
10/1/18,206,Allison,w,q,w,3,0,,
10/1/18,206,Allison,w,a,w,3,0,,
10/1/18,206,Allison,w,q,w,3,0,,
10/1/18,206,Allison,w,q,w,3,0,,
10/3/18,206,Allison,w,q,w,1,0,,
10/3/18,206,Allison,w,q,w,2,0,,
10/3/18,206,Allison,w,q,w,3,0,,
10/3/18,206,Allison,w,q,w,3,0,,
10/8/18,206,Allison,w,q,m,1,0,,
10/8/18,206,Allison,w,q,w,1,0,,
10/8/18,206,Allison,w,q,m,1,0,,
10/8/18,206,Allison,w,q,w,2,0,,
10/8/18,206,Allison,w,q,m,2,0,,
10/8/18,206,Allison,w,q,w,3,0,,
10/10/18,206,Allison,w,q,w,1,0,,
10/10/18,206,Allison,w,q,m,1,0,,
10/10/18,206,Allison,w,a,m,2,0,,
10/10/18,206,Allison,w,a,m,2,0,,
10/10/18,206,Allison,w,a,w,2,0,,
10/10/18,206,Allison,w,a,w,2,0,,
10/10/18,206,Allison,w,a,m,2,0,1,1
10/10/18,206,Allison,w,a,w,2,0,,
10/10/18,206,Allison,w,q,m,2,0,,
10/10/18,206,Allison,w,q,w,2,0,,
10/10/18,206,Allison,w,a,w,2,0,,
10/10/18,206,Allison,w,q,m,2,0,,
10/10/18,206,Allison,w,q,w,3,0,,
10/10/18,206,Allison,w,q,w,3,0,,
10/15/18,206,Allison,w,q,w,1,0,,
10/15/18,206,Allison,w,q,w,1,0,,
10/15/18,206,Allison,w,q,w,2,0,,
10/15/18,206,Allison,w,q,w,2,0,,
10/15/18,206,Allison,w,q,w,2,0,,
10/15/18,206,Allison,w,q,w,2,1,1,2
10/15/18,206,Allison,w,q,w,2,0,,
10/15/18,206,Allison,w,q,m,2,0,,
10/15/18,206,Allison,w,q,w,2,0,,
10/15/18,206,Allison,w,q,m,3,0,,
10/15/18,206,Allison,w,q,w,3,0,,
10/15/18,206,Allison,w,q,m,3,0,,
10/17/18,206,Allison,w,a,w,1,0,,
10/17/18,206,Allison,w,a,w,1,0,,
10/17/18,206,Allison,w,a,w,1,1,3,2
10/17/18,206,Allison,w,a,w,1,0,,
10/17/18,206,Allison,w,a,w,1,0,,
10/17/18,206,Allison,w,q,w,1,0,,
10/17/18,206,Allison,w,q,w,1,0,,
10/17/18,206,Allison,w,q,m,1,0,,
10/17/18,206,Allison,w,q,w,2,0,,
10/17/18,206,Allison,w,q,w,2,0,,
10/17/18,206,Allison,w,q,w,2,1,1,1
10/17/18,206,Allison,w,q,m,2,0,,
10/17/18,206,Allison,w,q,w,2,0,,
10/17/18,206,Allison,w,q,m,2,0,,
10/17/18,206,Allison,w,a,w,2,0,,
10/17/18,206,Allison,w,q,m,2,0,,
10/17/18,206,Allison,w,q,w,2,0,,
10/17/18,206,Allison,w,q,w,2,0,,
10/17/18,206,Allison,w,q,m,2,0,,
10/17/18,206,Allison,w,q,m,2,0,,
10/17/18,206,Allison,w,q,m,2,1,1,1
10/17/18,206,Allison,w,q,w,2,0,,
10/17/18,206,Allison,w,q,w,3,0,,
10/17/18,206,Allison,w,q,w,3,1,1,1
10/17/18,206,Allison,w,q,m,3,0,,
10/17/18,206,Allison,w,q,m,3,0,,
10/17/18,206,Allison,w,a,w,1,0,,
10/22/18,206,Allison,w,a,w,1,0,,
10/22/18,206,Allison,w,q,m,1,0,,
10/22/18,206,Allison,w,q,m,2,0,,
10/22/18,206,Allison,w,q,w,2,0,,
10/22/18,206,Allison,w,q,m,2,0,,
10/22/18,206,Allison,w,q,m,2,1,1,1
10/22/18,206,Allison,w,q,w,2,0,,
10/22/18,206,Allison,w,q,w,2,0,,
10/22/18,206,Allison,w,q,w,2,0,,
10/22/18,206,Allison,w,q,m,2,0,,
10/22/18,206,Allison,w,q,m,2,0,,
